,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
8166,8166,2022587.789,17:58:08:180,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ab8a89121e4cbc8caca03fbdfe33c6b9_1280x1024.jpg
8167,8167,2022591.154,17:58:08:183,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Eye,Fixation,Fixation,1,1,14.4273,14.4273,3.7533,13.3675,13.3675,3.4602,-40.3854,404.7519,-30.7604,411.7719,-,-,-0.3213,0.1493,-0.9351,-0.3284,0.156,-0.9316,62.8646,59.0872,621.8536,1.1404,57.0601,626.908,403.3633,281.0598,641.2888,290.5441,0,-,-,-,-,-,-,-,-
8168,8168,2022607.846,17:58:08:200,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Eye,Fixation,Fixation,1,1,14.5566,14.5566,3.754,13.3992,13.3992,3.462,-39.4977,424.2111,-34.8425,420.8888,-,-,-0.3195,0.1453,-0.9364,-0.3301,0.1559,-0.931,62.8455,59.0682,622.4032,1.0885,57.0513,627.8919,403.6087,281.4117,641.5159,290.9309,0,-,-,-,-,-,-,-,-
8169,8169,2022624.537,17:58:08:217,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Eye,Fixation,Fixation,1,1,14.5446,14.5446,3.7558,13.3133,13.3133,3.4591,-48.0255,446.49,-38.2825,453.2785,-,-,-0.3264,0.1361,-0.9354,-0.3319,0.1423,-0.9325,62.978,59.1848,624.0867,1.0524,56.9205,627.5811,403.8719,281.7638,641.687,291.5721,0,-,-,-,-,-,-,-,-
8170,8170,2022641.229,17:58:08:233,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Eye,Fixation,Fixation,1,1,14.5169,14.5169,3.7573,13.5123,13.5123,3.4662,-46.0513,434.3063,-47.2253,450.7726,-,-,-0.3204,0.147,-0.9358,-0.3407,0.1477,-0.9285,63.042,59.1955,625.2552,1.0122,56.8251,627.6785,403.9577,281.9495,642.0074,291.8752,0,-,-,-,-,-,-,-,-
8171,8171,2022657.921,17:58:08:250,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Eye,Fixation,Fixation,1,1,14.4271,14.4271,3.7543,13.4136,13.4136,3.4685,-44.994,438.43,-45.9703,444.3992,-,-,-0.3192,0.1468,-0.9362,-0.3337,0.1536,-0.9301,63.0029,59.1941,625.1865,0.9135,56.8967,628.7859,404.0597,281.9329,642.2481,291.8797,0,-,-,-,-,-,-,-,-
8172,8172,2022674.612,17:58:08:267,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Eye,Fixation,Fixation,1,1,14.4147,14.4147,3.7512,13.3355,13.3355,3.4674,-48.6133,442.3737,-48.3449,454.8667,-,-,-0.3259,0.1449,-0.9342,-0.3356,0.1465,-0.9306,62.9695,59.3386,625.2004,0.8258,57.0906,629.4741,404.3215,281.4232,642.613,291.515,0,-,-,-,-,-,-,-,-
8173,8173,2022691.304,17:58:08:284,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Eye,Fixation,Fixation,1,1,14.4447,14.4447,3.7492,13.2944,13.2944,3.4643,-50.0323,442.658,-49.337,462.2066,-,-,-0.3257,0.1467,-0.934,-0.335,0.1413,-0.9316,62.8117,59.5164,624.3568,0.7629,57.3336,629.2011,404.6049,280.3934,642.8422,290.59,0,-,-,-,-,-,-,-,-
8174,8174,2022707.995,17:58:08:300,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Eye,Fixation,Fixation,1,1,14.3653,14.3653,3.7443,13.2592,13.2592,3.4612,-50.193,443.7821,-50.4332,456.5387,-,-,-0.3235,0.1462,-0.9349,-0.3353,0.1493,-0.9302,62.7231,59.9454,624.8373,0.5845,57.7917,630.2755,405.0838,278.9367,643.5221,289.0812,0,-,-,-,-,-,-,-,-
8175,8175,2022724.687,17:58:08:317,Trial002,2 devant.png,0,2897.863,58,DarkCyan,99.4986,Eye,Fixation,Fixation,1,1,14.3427,14.3427,3.7386,13.2274,13.2274,3.4575,-50.8313,443.3157,-51.4035,460.2858,-,-,-0.3245,0.1474,-0.9343,-0.3353,0.1454,-0.9308,62.5835,60.3397,624.1207,0.4808,58.2775,630.5255,405.3671,277.1324,643.914,287.396,0,-,-,-,-,-,-,-,-
