,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
69703,69703,977113.607,13:32:37:163,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,995e2a4f8767f80e080c3e2259ce3866_1280x1024.jpg
69704,69704,977119.991,13:32:37:169,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Eye,Fixation,Fixation,1,1,21.7737,21.7737,4.7143,22.0704,22.0704,4.7243,696.4889,347.0606,669.9593,357.556,White Space,White Space,0.0366,0.5391,-0.8414,0.0295,0.5205,-0.8533,35.054,-95.8978,517.9216,-21.5385,-88.868,510.4932,476.4284,943.1352,739.9839,916.9355,0,-,-,-,-,-,-,-,-
69705,69705,977136.685,13:32:37:186,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Eye,Fixation,Fixation,1,1,21.6934,21.6934,4.7124,22.2292,22.2292,4.7259,695.8474,347.4878,670.1745,356.824,White Space,White Space,0.0327,0.5411,-0.8403,0.0329,0.5228,-0.8518,35.0771,-95.8808,517.8727,-21.5156,-88.805,510.1995,476.3945,943.0488,739.8562,916.8166,0,-,-,-,-,-,-,-,-
69706,69706,977153.378,13:32:37:203,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Eye,Fixation,Fixation,1,1,21.7025,21.7025,4.7113,22.0248,22.0248,4.7191,695.3537,347.189,670.4629,356.4175,White Space,White Space,0.0351,0.5421,-0.8396,0.0317,0.5242,-0.851,35.1102,-95.9046,517.9665,-21.4772,-88.7877,510.0941,476.2181,943.0526,739.7231,916.7838,0,-,-,-,-,-,-,-,-
69707,69707,977170.072,13:32:37:219,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Eye,Fixation,Fixation,1,1,21.722,21.722,4.7116,22.1145,22.1145,4.7171,694.3576,346.9951,670.0784,355.7904,White Space,White Space,0.0305,0.5426,-0.8394,0.0246,0.5227,-0.8522,35.1453,-95.9615,518.2067,-21.4508,-88.8128,510.1668,476.237,943.1035,739.7479,916.8823,0,-,-,-,-,-,-,-,-
69708,69708,977186.766,13:32:37:236,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Eye,Fixation,Fixation,1,1,21.7215,21.7215,4.7116,22.1762,22.1762,4.7183,695.3083,347.797,670.6517,355.108,White Space,White Space,0.0401,0.5406,-0.8403,0.0304,0.5235,-0.8515,35.1697,-95.9634,518.0618,-21.4186,-88.8619,510.4076,475.8591,943.2826,739.4159,916.8992,0,-,-,-,-,-,-,-,-
69709,69709,977203.459,13:32:37:253,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Eye,Fixation,Fixation,1,1,21.7306,21.7306,4.7117,22.2444,22.2444,4.7219,694.6442,347.4648,671.6551,356.0666,White Space,White Space,0.0325,0.5443,-0.8382,0.0314,0.5186,-0.8545,35.1673,-95.9445,517.8821,-21.4183,-88.8814,510.4244,475.9873,943.2525,739.3902,917.1036,0,-,-,-,-,-,-,-,-
69710,69710,977220.153,13:32:37:270,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Eye,Fixation,Fixation,1,1,21.7071,21.7071,4.7103,22.1888,22.1888,4.7227,695.0131,348.4481,671.9827,355.3018,White Space,White Space,0.0359,0.5407,-0.8404,0.0313,0.5215,-0.8527,35.1551,-95.9094,517.5888,-21.4193,-88.8894,510.4479,475.8711,943.4285,739.3908,917.048,0,-,-,-,-,-,-,-,-
69711,69711,977236.847,13:32:37:286,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Eye,Fixation,Fixation,1,1,21.7161,21.7161,4.7091,22.1315,22.1315,4.7213,694.676,348.6719,671.3767,355.5065,White Space,White Space,0.034,0.5427,-0.8392,0.0281,0.5204,-0.8534,35.1382,-95.8577,517.3255,-21.4266,-88.9051,510.5203,475.9106,943.3598,739.4847,917.0911,0,-,-,-,-,-,-,-,-
69712,69712,977253.54,13:32:37:303,Trial011,12 tete chat G.png,0,2898.271,56,DarkOliveGreen,94.8842,Eye,Fixation,Fixation,1,1,21.671,21.671,4.7062,22.1663,22.1663,4.7215,693.9444,348.9602,671.6122,356.47,White Space,White Space,0.0316,0.5423,-0.8396,0.0315,0.519,-0.8542,35.1366,-95.8313,517.218,-21.4254,-88.9006,510.4727,475.9361,943.3385,739.4114,917.1441,0,-,-,-,-,-,-,-,-
