,Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content
258825,258825,377610.608,12:00:20:000,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1 coucou g.jpg
258826,258826,377617.62,12:00:20:007,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,11.6376,11.6376,3.047,11.8666,11.8666,3.0734,222.7834,1055.7528,222.7834,1055.7528,-,-,0,0,0,0,0,0,12.2015,-43.0465,715.8139,62.4962,-43.8361,705.6028,674.3263,663.4444,490.7313,668.6097,-,-,-,-,-,-,-,-,-
258827,258827,377637.491,12:00:20:027,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,11.6108,11.6108,3.0365,11.902,11.902,3.0816,210.2682,1061.1327,210.2682,1061.1327,-,-,0,0,0,0,0,0,11.7722,-43.0966,714.9659,62.2269,-44.0671,705.4336,676.0424,664.0029,491.7746,669.3808,-,-,-,-,-,-,-,-,-
258828,258828,377657.372,12:00:20:047,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,11.8238,11.8238,3.0915,12.0515,12.0515,3.1206,218.0315,1069.6949,218.0315,1069.6949,-,-,0,0,0,0,0,0,11.42,-43.2789,715.0441,61.9507,-44.1142,705.6576,677.2099,664.4777,492.6292,669.89,-,-,-,-,-,-,-,-,-
258829,258829,377677.242,12:00:20:067,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,11.7017,11.7017,3.0588,12.2274,12.2274,3.1684,219.35,1054.1369,219.35,1054.1369,-,-,0,0,0,0,0,0,11.0202,-43.3368,714.7213,61.713,-44.4023,706.367,678.6402,664.6728,493.7293,670.1683,-,-,-,-,-,-,-,-,-
258830,258830,377697.248,12:00:20:087,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,11.7824,11.7824,3.0767,12.2712,12.2712,3.181,217.2482,1070.163,217.2482,1070.163,-,-,0,0,0,0,0,0,10.6061,-43.375,714.0824,61.4135,-44.4302,706.7147,680.0658,665.0521,495.0138,670.7427,-,-,-,-,-,-,-,-,-
258831,258831,377717.111,12:00:20:107,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,11.8674,11.8674,3.0953,12.2556,12.2556,3.1742,221.9981,1072.7855,221.9981,1072.7855,-,-,0,0,0,0,0,0,7.9048,-45.491,713.238,58.7252,-46.6414,706.153,689.6268,672.776,504.4546,678.9561,-,-,-,-,-,-,-,-,-
258832,258832,377736.994,12:00:20:126,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,11.8674,11.8674,3.0918,12.1203,12.1203,3.1411,208.7254,1063.4828,208.7254,1063.4828,-,-,0,0,0,0,0,0,9.6285,-42.9019,712.5566,60.562,-44.413,706.4541,683.7193,663.767,498.2506,670.2616,-,-,-,-,-,-,-,-,-
258833,258833,377756.871,12:00:20:146,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,12.0143,12.0143,3.1271,12.3385,12.3385,3.1981,216.0347,1070.0056,216.0347,1070.0056,-,-,0,0,0,0,0,0,9.0467,-42.3756,712.0665,60.0473,-44.0723,706.8323,685.4699,661.9864,500.1267,669.2203,-,-,-,-,-,-,-,-,-
258834,258834,377776.747,12:00:20:166,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,12.0966,12.0966,3.1437,12.3021,12.3021,3.1899,216.6562,1070.5029,216.6562,1070.5029,-,-,0,0,0,0,0,0,8.4528,-41.7822,711.1049,59.5188,-43.6287,707.1518,687.5338,660.0577,502.1403,667.5269,-,-,-,-,-,-,-,-,-
258835,258835,377796.737,12:00:20:186,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,11.8342,11.8342,3.0719,12.2601,12.2601,3.1774,212.8191,1072.8956,212.8191,1072.8956,-,-,0,0,0,0,0,0,7.8047,-41.2217,710.0376,58.9102,-43.0718,706.8371,690.1468,658.2814,504.0928,665.6461,-,-,-,-,-,-,-,-,-
258836,258836,377816.62,12:00:20:206,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,12.0408,12.0408,3.1205,11.9552,11.9552,3.0949,210.6265,1071.5071,210.6265,1071.5071,-,-,0,0,0,0,0,0,7.1205,-40.7633,709.1482,58.1732,-42.446,705.8243,692.6266,656.7482,506.6109,663.4683,-,-,-,-,-,-,-,-,-
258837,258837,377836.483,12:00:20:226,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,1,1,11.6354,11.6354,3.0155,12.4214,12.4214,3.2093,204.7014,1071.5003,204.7014,1071.5003,-,-,0,0,0,0,0,0,3.1212,-40.3737,708.7736,54.2247,-41.764,705.2482,707.2682,655.3959,520.7594,661.1176,-,-,-,-,-,-,-,-,-
258838,258838,377856.37,12:00:20:246,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Saccade,Saccade,1,1,12.0291,12.0291,3.1139,12.2556,12.2556,3.1655,206.3096,1068.3268,206.3096,1068.3268,-,-,0,0,0,0,0,0,5.7443,-40.0717,708.3586,56.7679,-41.1509,704.696,697.5224,654.3088,511.4546,658.9561,-,-,-,-,-,-,-,-,-
258839,258839,377876.244,12:00:20:266,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Saccade,Saccade,1,1,12.2756,12.2756,3.173,12.5746,12.5746,3.2416,270.0067,1029.5156,270.0067,1029.5156,-,-,0,0,0,0,0,0,5.1001,-39.6466,707.599,56.0797,-40.3983,703.7283,699.1852,652.5112,513.0081,656.0278,-,-,-,-,-,-,-,-,-
258840,258840,377896.111,12:00:20:286,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Saccade,Saccade,1,1,12.9259,12.9259,3.339,12.4669,12.4669,3.2165,493.5576,710.0343,493.5576,710.0343,White Space,White Space,0,0,0,0,0,0,4.9605,-39.0325,707.7938,55.7424,-39.482,704.2892,698.1057,648.0586,512.926,650.4069,-,-,-,-,-,-,-,-,-
258841,258841,377916.022,12:00:20:305,Trial001,NoImage,0,2891.081,53,LightSeaGreen,100.0,Eye,Fixation,Fixation,2,2,12.0345,12.0345,3.1109,12.2905,12.2905,3.1688,561.2768,508.4063,561.2768,508.4063,White Space,White Space,0,0,0,0,0,0,4.5692,-38.6761,707.4639,55.2648,-38.9035,703.7012,699.074,645.2542,513.832,646.9557,-,-,-,-,-,-,-,-,-
